Course URL,Course Name,Subject Code,Course Number
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=200&p_subj=AAAS,AAAS 200,AAAS,200
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=204&p_subj=AAAS,AAAS 204,AAAS,204
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=238&p_subj=AAAS,AAAS 238,AAAS,238
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=245&p_subj=AAAS,AAAS 245,AAAS,245
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=300&p_subj=AAAS,AAAS 300,AAAS,300
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=510&p_subj=AAAS,AAAS 510,AAAS,510
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=524&p_subj=AAAS,AAAS 524,AAAS,524
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=572&p_subj=AAAS,AAAS 572,AAAS,572
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=600&p_subj=AAAS,AAAS 600,AAAS,600
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=101&p_subj=AFSC,AFSC 101,AFSC,101
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=102&p_subj=AFSC,AFSC 102,AFSC,102
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=201&p_subj=AFSC,AFSC 201,AFSC,201
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=202&p_subj=AFSC,AFSC 202,AFSC,202
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=238&p_subj=AFSC,AFSC 238,AFSC,238
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=301&p_subj=AFSC,AFSC 301,AFSC,301
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=302&p_subj=AFSC,AFSC 302,AFSC,302
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=381&p_subj=AFSC,AFSC 381,AFSC,381
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=401&p_subj=AFSC,AFSC 401,AFSC,401
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=402&p_subj=AFSC,AFSC 402,AFSC,402
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=477&p_subj=AFSC,AFSC 477,AFSC,477
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=238&p_subj=AMCI,AMCI 238,AMCI,238
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=400&p_subj=AMCI,AMCI 400,AMCI,400
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=477&p_subj=AMCI,AMCI 477,AMCI,477
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=007&p_subj=ANTH,ANTH 007,ANTH,007
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=200&p_subj=ANTH,ANTH 200,ANTH,200
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=201&p_subj=ANTH,ANTH 201,ANTH,201
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=203&p_subj=ANTH,ANTH 203,ANTH,203
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=205&p_subj=ANTH,ANTH 205,ANTH,205
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=210&p_subj=ANTH,ANTH 210,ANTH,210
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=212&p_subj=ANTH,ANTH 212,ANTH,212
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=238&p_subj=ANTH,ANTH 238,ANTH,238
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=250&p_subj=ANTH,ANTH 250,ANTH,250
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=290&p_subj=ANTH,ANTH 290,ANTH,290
https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2025&p_crse_numb=299&p_subj=ANTH,ANTH 299,ANTH,299
