,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,AAAS,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14901,200,Fall 2021,Knowing Blackness: Introduction To African And African American Studies,3,N,UG,"Has a strong cultural emphasis of how the African Diaspora has changed over time, but no emphasis on a social issue or how AAAS can contribute to sustainability","An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require.",African And African American Studies,2021-2022,,,,,,Percentage of Sustainability Course Offerings
1,AAAS,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AAAS,300,Spring 2022,Writing Black Lives,3,Y - Inclusive,UG,"This course focuses on Black Writers and their written work, one of those being Octavia Butler, who has done extensive work in post-apocalyptic science fiction that deals with climate change. I am sure that there are discussions about the role of Black writers in climate change literature and their perspective, therefore, being sustainability inclusive.","In this course, students will be reading, reflecting, and dissecting short stories, novels, television scripts, and other works of fiction crafted by artists across the Black diaspora. Students will thoroughly discuss process and intent, with an extensive focus on craft.",African And African American Studies,2021-2022,,,,,,27.94%
2,AAAS,,510,Spring 2022,Intro To Diasporic Studies,3,N,G,"This course is for graduate students who are interested in African and African American Studies, but has no clear direction","This is the core course for the Certificate in African and African American Studies. It will provide an introduction to cross- and multi-disciplinary approaches to the histories, cultures and experiences of African and African Diasporic people, while also introducing students to the work of Rice faculty working in the field.",African And African American Studies,2021-2022,,,,,,
3,AAAS,,600,Fall 2021,African And African American Studies Colloquium,3,N,G,"This course is for graduate students who are interested in African and African American Studies, but has no clear direction",Through readings and discussions the colloquium highlights key issues related to African and African American studies for graduate students preparing to conduct research in the field. Repeatable for Credit,African And African American Studies,2021-2022,,,,,,
4,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=AFSC,101,Fall 2021,Foundation Of The Usaf I,2,N,UG,No indication of sustainability focus or inclusivity.,"Overall roles and missions of the USAF; career fields available. Emphasis on military customs and courtesies, appearance standards, core values, written and personal communications. Introduction to American military history",Air Force Science,2021-2022,,,,,,
5,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AFSC,102,Spring 2022,Foundation Of The Usaf Ii,2,N,UG,No indication of sustainability focus or inclusivity.,Continuation of AFSC 101,Air Force Science,2021-2022,,,,,,
6,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=AFSC,201,Fall 2021,Evolution Of Air Power I,2,N,UG,No indication of sustainability focus or inclusivity.,Key historical events and milestones in the development of air power as a primary instrument of United States national security. Core values and competencies of leaders in the United States Air Force. Tenets of leadership and ethics.,Air Force Science,2021-2022,,,,,,
7,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AFSC,202,Spring 2022,Evolution Of Air Power Ii,2,N,UG,No indication of sustainability focus or inclusivity.,Continuation of AFSC 201,Air Force Science,2021-2022,,,,,,
8,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=AFSC,301,Fall 2021,Air Force Leadership Studies,3,N,UG,No indication of sustainability focus or inclusivity.,"Leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, and leadership ethics. Case studies of Air Force leadership and management situations.",Air Force Science,2021-2022,,,,,,
9,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AFSC,302,Spring 2022,Air Force Leadership Study Ii,3,N,UG,No indication of sustainability focus or inclusivity.,Continuation of AFSC 301,Air Force Science,2021-2022,,,,,,
10,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=AFSC,401,Fall 2021,National Security Affairs I,3,N,UG,No indication of sustainability focus or inclusivity.,"Evolution of the role of national security in a democratic society with emphasis on policy formation, competing values, and organization. Civilian control of the military, roles of the services; functions of the Air Force Commands.",Air Force Science,2021-2022,,,,,,
11,AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AFSC,402,Spring 2022,National Security Affairs Ii,3,N,UG,No indication of sustainability focus or inclusivity.,Continuation of AFSC 401,Air Force Science,2021-2022,,,,,,
12,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=203&p_subj=ANTH,203,Fall 2020,Introduction To Biological Anthropology,3,N,UG,Intro classes are not adequately aimed towards sustainability,"This course offers a broad introduction to the human past as revealed by evolutionary studies of both biochemical and fossil evidence, and by archaeological studies of human cultural behavior. ",Anthropology,2020-21,,,,,,
13,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,212,Spring 2022,Perspectives On Modern Asia,3,Y - included,UG,"Covers the themes of global development and inequality as well as change over time; specific focus on social and economic development/change, but not necessarily on solving or addressing problems.","A team-taught interdisciplinary course focusing on the political, social, and economic forces that are shaping the lives of the nearly 1/2 of the world's population that lives in Asia. Provides a selective, in-depth look at certain important areas of East, Southeast, and South Asia that reflect larger themes and problems. ",Anthropology,2020-21,,,,,,
14,ASIA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,212,Spring 2022,Perspectives On Modern Asia,3,Y - included,UG,"Covers the themes of global development and inequality as well as change over time; specific focus on social and economic development/change, but not necessarily on solving or addressing problems.","A team-taught interdisciplinary course focusing on the political, social, and economic forces that are shaping the lives of the nearly 1/2 of the world's population that lives in Asia. Provides a selective, in-depth look at certain important areas of East, Southeast, and South Asia that reflect larger themes and problems. ",Asian Studies,2020-21,,,,,,
15,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=ANTH,302,Fall 2019 but no syllabus available,Anthropological Theory,3,N,UG,"It provides frameworks for thinking about the themes of global development, inequality, poverty, cultural differences, etc. However, from the limited material available, it seems the actual content of the course is not focused enough on sustainability-related applications for this to count.",A survey of the major theorists and theoretical schools of social-cultural anthropology.,Anthropology,2020-21,,,,,,
16,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,308,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.",Anthropology,2020-21,,,,,,
17,SWGS,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,336,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
18,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=309&p_subj=ANTH,309/509,,Global Cultures,3,Y - focus,Both,"Globalization, global change and development, social movements - centrally concerned with migration, which is certainly a sustainibility challenge.","This course will examine specific cultural debates and issues that have ""overflowed"" national boundaries. Topics will include student movements, democracy and citizenship, and the internationalization of professional and popular culture.",Anthropology,2020-21,,,,,,
